,subject,session,runs,samples,trs
316,115,ses-01,5,1860000,248
317,115,ses-01,6,1860000,248
318,115,ses-02,1,3727500,497
319,115,ses-02,2,3720000,496
320,115,ses-02,3,3720000,496
321,115,ses-02,4,3727501,497
322,115,ses-02,5,1860000,248
323,115,ses-02,6,1859999,247
324,215,ses-01,1,3727501,497
325,215,ses-01,2,3720000,496
326,215,ses-01,3,3720000,496
327,215,ses-01,4,3727500,497
328,215,ses-01,5,1860000,248
329,215,ses-01,6,1860000,248
330,215,ses-02,1,3727501,497
331,215,ses-02,2,3720000,496
332,215,ses-02,3,3720000,496
333,215,ses-02,4,3727500,497
334,215,ses-02,5,1860000,248
335,215,ses-02,6,1859999,247
336,116,ses-01,1,3727500,497
337,116,ses-01,2,3720001,496
338,116,ses-01,3,3720000,496
339,116,ses-01,4,3727500,497
340,116,ses-01,5,1860000,248
341,116,ses-01,6,1860000,248
342,116,ses-02,1,3727500,497
343,116,ses-02,2,3720000,496
344,116,ses-02,3,3720000,496
345,116,ses-02,4,3727500,497
346,116,ses-02,5,1860000,248
347,116,ses-02,6,1860000,248
348,216,ses-01,1,3727500,497
349,216,ses-01,2,3720000,496
350,216,ses-01,3,3720000,496
351,216,ses-01,4,3727500,497
352,216,ses-01,5,1860000,248
353,216,ses-01,6,1860000,248
354,216,ses-02,1,3727500,497
355,216,ses-02,2,3720000,496
356,216,ses-02,3,3719999,495
357,216,ses-02,4,3727500,497
358,216,ses-02,5,1860000,248
359,216,ses-02,6,1860000,248
360,118,ses-01,1,3727500,497
361,118,ses-01,2,3720000,496
362,118,ses-01,3,3720000,496
363,118,ses-01,4,3727500,497
364,118,ses-01,5,1860000,248
365,118,ses-01,6,1860001,248
366,118,ses-02,1,3727500,497
367,118,ses-02,2,3720000,496
368,118,ses-02,3,3720000,496
369,118,ses-02,4,3727500,497
370,118,ses-02,5,1860000,248
371,118,ses-02,6,1860000,248
372,218,ses-01,1,3727500,497
373,218,ses-01,2,3720000,496
374,218,ses-01,3,3720000,496
375,218,ses-01,4,3727499,496
376,218,ses-01,5,1859999,247
377,218,ses-01,6,1860000,248
378,218,ses-02,1,3727500,497
379,218,ses-02,2,3720000,496
380,218,ses-02,3,3720001,496
381,218,ses-02,4,3727500,497
382,218,ses-02,5,1860001,248
383,218,ses-02,6,1859999,247
6,119,ses-01,1,3727500,497
7,119,ses-01,2,3720000,496
8,119,ses-01,3,3720000,496
9,119,ses-01,4,3727500,497
10,119,ses-01,5,1860000,248
11,119,ses-01,6,1860000,248
12,119,ses-02,1,3727500,497
13,119,ses-02,2,3720000,496
14,119,ses-02,3,3727500,497
15,119,ses-02,4,3727500,497
16,119,ses-02,5,1860000,248
17,119,ses-02,6,1860000,248
390,219,ses-01,1,3727501,497
391,219,ses-01,2,3720000,496
392,219,ses-01,3,3720000,496
393,219,ses-01,4,3727500,497
394,219,ses-01,5,1860000,248
395,219,ses-01,6,1860000,248
396,219,ses-02,1,3727501,497
397,219,ses-02,2,3720000,496
398,219,ses-02,3,3720001,496
399,219,ses-02,4,3727500,497
400,219,ses-02,5,1860000,248
401,219,ses-02,6,1860000,248
402,120,ses-01,1,3727500,497
403,120,ses-01,2,3720000,496
404,120,ses-01,3,3720000,496
405,120,ses-01,4,3727500,497
406,120,ses-01,5,1860000,248
